\ge,\gp,\de,\dp,\lx
angleworm,minhoca,,,gasoom
caterpillar (edible),lagarta,,,bet’ëëh
centipede,centopéia,,,sagõõh yb [‘pai de estrela’]
scorpion,escorpião,,,sëëj
cicada,cigarra,,,daar; karaweng-weng; tsiw (tipos)
flea,pulga,,,dén (pequeno; bicho-do-pé); kadiib (maior; fica no cachorro)
fly,mosca,,,tawarẽẽh
cricket,grilo,,,riw
edible palm-dwelling larva (palm weevil),larva; broca-do-coqueiro; aramandaiá,,,kewan t’ëëh
praying mantis,louva-a-deus,,,karahon boj; (saramah?)
mosquito,mosquito; carapana,,,gyyj
termite,cupim,,,kamara
tick,carrapato,,,gawar’ëëb/gawar’yyb (carrapato medio); majakég (grande; branco); gamatsih (carrapato pequeno; da coça)
wasp,caba,,,atëëd
snail,caracol,,,waroor
spider,aranha,,,sanajoo
jaguar,onca,,,awad
manatee,peixe-boi,,,wajats
brown woolly monkey,macaco barrigudo,,,matatoor
howler monkey (red-handed),guariba,,,samỹỹj
tufted capuchin monkey,macaco prego,,,jaw’ëëj
White fronted capuchin,Caiarara,,,hëëw/hyyw
White-fronted spider monkey,macaco aranha; coatá; quatá ,,,jaw’ëëj yb
opossum,mucura,,,tsawaaj
Giant Otter,ariranha,,,aj’oog
Neotropical Otter (small),lontra,,,mukejar; bakuuj
collared peccary,caititu,,,jamog
White-lipped peccary,queixada,,,tooh
porcupine,cuandu; porco-espinho ,,,kakoos yb
cotamundi; coatimundi,quati,,,kabë
agouti (Black agouti; Black-rumped agouti),cutia,,,bahe
capybara,capivara,,,kajamaah
Green Acouchi,cutiara,,,mabëng
paca (lowland),paca,,,depaa
Amazonian marsh rat,rato de agua,,,bahõd (rato grande)
mouse,camundongo,,,gaw’ëëng
squirrel,serelepe; quatipuru; esquilo,,,tarog
tapir (South American Tapir),anta,,,t’ëëng
deer,veado; cariacu,,,kawajad
horse,cavalho,,,kawaar; kawajad yb (lit. veado-pai)
bastard plantain,bananeira do mato; sororoca,,,jeer
butternut tree,piquia; piqui,,,kane
cacao,cacau,,,kaan
curare,curare,,,p’yym
tucumã palm,tucumã,,,kajero
jauari palm,jauari,,,sasõm
lime,limão,,,rimaw
papaya,mamão,,,mapah
pottery tree,caraipe,,,kawatäg
strangler vine,apui,,,kamak
bamboo,taboca,,,takod
achiote; anatto,urucum,,,h’ëëw/h’yyw
avocado,abacate,,,barajaa
banana; plantain,banana,,,maseer
bastard plantain ,bananeira do mato; sororoca; banana silvestre,,,jeer; puuw
bean,feijão,,,kamaan
brazil nut,castanha do mato,,,manee (castanha do mato)
chili pepper,pimenta,,,p’ooh
coca,coca,,,bato
cotton,algodão,,,kawad puuw
kapok,sumaumeira,,,kawad puuw (tëëg)
Guava,goiaba,,,arijap
maize; corn,milho,,,janati
manioc (bitter),mandioca,,,boog
manioc (sweet),macaxeira,,,mahũũr
papaya,mamão,,,mapah
peach palm; pejibaye palm,pupunha,,,jyy/jëë
Pigweed; green amaranth,caruru; bredo (Bahia),,,awas
pineapple,abacaxi,,,mawããd
basin,bacia,,,ji waa hood
basket; generic/disposable,cesto descartável,,,t’õõm
basket; large,atura,,,arook
basket; small,cesto pequeno,,,wao taah
bead,miçanga,,,majoor
bed,cama,,,ji jó jaỹỹh doo
bench; seat,banco,,,ji tyyng
bowl,tijela,,,ji waa hood
broom,vassoura,,,ji makoot doo
canoe,canoa,,,h’ooh
clothes,roupa,,,saroor
fence; palisade,cerca,,,ji hewoonh
firewood,lenha,,,tëëng
Curupira (spirit type),Curupira,,,maëts
evil spirit; ghost,espirito,,,tabanas’aa
shaman,xaman; pajé; feiticeiro,,,sëëw
healer,benzador; curandeiro; kumu (Tukano),,,mehëëm doo; mehëëm [benzer]
deity; culture figure,divinidade; figura mítica,,,ee t’aah paah [pai-filho-PASS; 2 irmões gemeos]
drum (small),tambor,,,tamaboh; taats
drum (large signal),tambor,,,tamaboh yb
flute,flauta,,,ji gamehỹỹ doo [flauta em geral]; kewëëm [de paxiuba]
hallucinogenic vine; Banisterium; ayahuasca,ayahuasca; caapi,,,none? [dõm bag’aad (tail-leaf) – hallucinogenic plant]
coca,ipadu,,,bato
hollow log/trough for beer-making,cocho de caxiri,,,jarakë
hammock,rede,,,jag
ritual song cycle (kapiwaya),kapiwaya,,,pud [canto ritual]
ritual festival,dabucuri,,,jëm
incantation,benzimento,,,ji mehëëm doo
knife,faca,,,mariij t’aah
machete,facão,,,mariij
paddle; oar,remo,,,hëë
plate,prato,,,ji waa hood
pot,panela; vasilha,,,sareej
rattle,chocalho [NOT marico],,,matadeeh doo
resin,resina; breu,,,jari
axe/stone axe,machado (de pedra),,,mỹỹm
string (for hammocks),fio de que se faz rede,,,jag tyd [corda p atar rede]; jarana [grelo de buriti]
tattoo,tatuagem,,,kahetu doo manad ỹỹn
palm for roof thatch,caraná,,,kanés g’aad
yurupari; jurupari (or any flutes forbidden to women),yurupari,,,baras’ĩĩnh
fetish; charm,feitiço; puçanga,,,wuug
feather headdress,enfeite de penas; cangatara,,,soog
body paint,pintura corporal,,,jeriih
hallucinogenic snuff ,paricá; yopo,,,kaój ag
afterworld; land of the dead; “heaven”,terra dos mortos,,,dejëp doo sapanang
school,escola,,,ji yd makametëëk doo
bottle,garrafa,,,parako
paper,papel,,,makahe bëh
dream,sonho,,,s’ëëh
chicken,galinha,,,karaak
grave,sepultura; sepulcro; cova,,,kamaag hood [morto lugar]
pipe (or other tool for ingesting tobacco),cachimbo,,,hũũt [=tobaco]
sugar; sugar cane,açucar (de cana),,,kããn s’ëëb [cana feito]
skirt,saia,,,saaj
shoes,sapatos,,,ji tsyym suun
policeman,policía,,,warahen
soldier,soldado,,,warahen
cat,gato,,,pisããn
gun,espingarda; fusil,,,tëëg yb [fogo pai]; makaw
hat,chapéu,,,ji soog
chief/leader,chefe,,,[ji] wahëë
club,clava; porrete,,,mar’ããs ma
loincloth,tanga; tapa-sexo,,,pëëw
fireplace,lareira,,,tëëg hood
fishing line,linha de pesca,,,ji metyy doo
wax,cera,,,mabaa j’aa
salt,sal,,,jukiir; muun nu gahõn [nome.pessoa cabeça cerebre= gaviao levou pessoa Muun; pedaços dele caindo; cabeça caiu no mar; pedaços virarem sal]
song,canção; canto,,,kejëm doo
arrow,flecha,,,gatoj
blowgun,zarabatana,,,s’oow
bow,arco,,,karaba
chicha (manioc beer),caxiri; chicha de mandioca,,,jarakë
chicha(other alc. beverage),aluá,,,mawããd bëëh (lit. pineapple juice)
dart (blowgun),dardo,,,sóh tyym
fan,abanador; abano,,,betoo
fish (with line),pescar (com linha),,,karããj tyd [linha de pesca]; karããj tyd me ji metyy
fish (with fish-poison),pescar com timbó; tinguijar,,,ji adyyk
fish-poison; barbasco,timbó,,,d’uuj
hunt,caçar,,,gawajaah
game animal,caça; animal de caça,,,har’ëëng
flat bread; cassava bread,beiju,,,kanapiih
gourd dipper,cuia,,,kuuj; ëk
grater,ralador; ralo,,,ehë̃p [ralar]; bebuu kóm [raiz de paxiuba- tem pontinhos]
grid of sticks for smoking meat or placing objects (shelf),jirau,,,wooj tëëng
griddle for cooking flatbread,forno para beiju,,,japũũn
manioc meal,farinha,,,masook
mortar,pilão,,,ji etook doo hood
pestle,mão de pilão,,,ji etook doo [etook=pilar]
starch (tapioca; other),goma de tapioca,,,sẽẽj
tapioca drink; mingau,mingau,,,kajahaar
tipiti (manioc squeezer),tipiti,,,harum
tripod for washing manioc,tripe,,,hetsyyd doo
venom for darts,curare,,,p’yym
woven strainer/sieve,peneira; cumatá,,,napits (peneira); jaré taah (cumata)
cooking food wrapped in leaves,,,,tatsëë
bait for fishing,isca /  minhoca,,,gasoom
fish trap,matapi; cacuri,,,jood (matapi; =sucuriju); kakuur (cacuri p peixe); marakaw nahëëh (cacuri p cabeçudo)
honey,mel,,,mabaah
spear,lança,,,jook
mother,mãe,,,ỹỹn
father,pai,,,yb
brother,irmão,,,hỹỹj
sister,irmã,,,ä̃nh
paternal uncle,tio paterno,,,kad
paternal aunt,tia paterna,,,óng
maternal uncle,tio materno,,,gód
maternal aunt,tia materna,,,kaat
maternal uncle [MB],tio materno,,,marido da tia m 
cross-cousin (or; generic affine?),,,,jxooh
son,filho,,,txaah taah
daughter,filha,,,toog
niece/nephew,sobrinha/o,,,karasee
grandfather,avô,,,oow
grandmother,avó,,,hooj
grandson,neto,,,tatxaah (great-grandson: tatatxaah)
granddaughter,neta,,,tatoog (great-granddaughter: tatatoog)
sister/brother-in-law,cunhada/o,,,hebyy nxaa
wife,esposa,,,ỹỹm
husband,esposo,,,patug
son-in-law,genro,,,samad
daughter-in-law,nora,,,sok sog
mother-in-law,sogra,,,maỹỹn
father-in-law,sogro,,,mayb
cognate (non-marriageable relative),parentes/cognados,,,wakan
self-denomination of ethnic/linguistic group,auto-denominação do grupo,,,nadëb
