,entry_id,variants
0,saroop_49b0da68-47ae-42c0-ac17-b23a42c0e42e,{'ʃaɾoːp_0023c0a0-6de7-452a-85b6-0f6e0794014a': 'Martins'}
1,sëëw_7c511834-586a-456c-884a-02fda6ccd6aa,{'ʃɤːw_009b3e07-21aa-4c01-aeda-2447f5bc3e94': 'Martins'}
2,nag’aad_a2653c1c-526b-4da1-aaeb-c2f393797942,{'naga̰ːd_00bdbea3-65ff-4c88-bb09-064fdb77ec72': 'Barbosa'}
3,wog_498db3e4-f431-454a-9be0-f767c01c3ed5,{'ʔawog_00f7b57b-f98c-4687-bea0-9f62e1329d93': 'Martins'}
4,roor_3015a52d-88c5-432a-befd-e2eab5325dc6,"{'ʔaɾoːɾ_02510f6f-9440-4065-8ef1-609ab7927a49': 'Barbosa', 'ɾoːɾ_4cf16e5f-320d-49e2-a128-4ae50a674b2b': 'Martins'}"
5,h’ëëb_2d2a4415-053e-4b4e-bf26-6a3fb35e5a49,{'hɯ̰ːb_030b2a7d-4650-45f3-a4e4-5c6c0edeb33e': 'Martins'}
6,naëng_031a7339-0644-4618-af27-88f71d6565db,{'naʔəŋ2_53d64a2f-8e76-45e0-912f-3064e781e9fa': 'Barbosa'}
7,tii2_d3db1b0f-4558-4e63-94dc-a2d6b0d31def,{'tatiʔ_0585473a-015e-4c8d-8204-f0cdcdef9673': 'Barbosa'}
8,takʹëp_713254c9-c9a3-408e-89d8-f85183abb1e8,{'takɤ̰p_05bff17e-0f67-47a7-8c0f-aaeb5194a218': 'Martins'}
9,basooh2_c72d9c5c-d8fc-4c06-9f6d-f9ef9f262f1a,{'basong_061b4156-051a-46d0-8236-0cd083292685': 'denominal?'}
10,hajʹaa_0e588062-5b1b-40b9-be20-57b3c3c79c71,{'moo hajʹaa_06db6091-79d5-477c-a422-797dfc4e6c9b': 'unknown verbal inflection'}
11,duuh_1c1e2650-1809-4f40-a148-33b3a990262f,{'duːh2_8cad8cbe-211f-4aa3-bd6e-b9d4d6bcebb8': 'Martins'}
12,tsäng_c466f8d0-c63e-4dce-83d9-8000648a6ee9,{'ɟʌŋ_09ce3a4d-30ad-4a1c-be7f-7d36d99bd019': 'Barbosa'}
13,madyyk_09e54f3c-410b-415c-8850-75ea270e4552,"{'madɯːk_a79dbe05-2ba9-47a7-8e82-412e1dcbc089': 'Martins', 'madiːk2_33d37501-2096-43ca-8bdd-cfcc695acd7c': 'Barbosa'}"
14,se_44710235-cb36-41d3-88f8-7a88edc7df2b,{'ʃeʔ_136f03ea-0223-4179-830f-577d41fa039e': 'Martins'}
15,harum_15ce4d3f-c20c-4b98-ac5e-19c13eada4af,"{'haɾum_89301e28-b653-49bf-bcdd-fac7eb6414e6': 'Martins', 'haɾũm2_e7c19295-e5b4-4fbe-afa0-407f81dde475': 'Barbosa'}"
16,aju_56ea33aa-145e-4f13-a0ce-5192ec690e52,{'baju_16b9f9ed-0cb5-4df0-b170-cdea3e4efea7': 'unknown verbal inflection?'}
17,awän_16edbafa-9f23-4587-bd92-330bd1726f90,{'awʌn_bdb900a7-eb03-4db1-bcc3-312f4043d469': 'Martins'}
18,tooh_6043f2b6-842d-49d1-9764-2fd9ab21b3ba,{'toːh_7f0b89bd-c145-4365-b20a-74fab09a5887': 'Barbosa'}
19,[ji] wahëë_1a55a25e-11fb-4fd6-acf0-565fecd058a8,{'wahɤ̰ːh_ce80171b-4d63-4f72-9f46-5068f63719ab': 'Martins'}
20,tũːʔ_22152a27-e164-405e-b4b5-f3b9d7f6331d,{'tũũh_1b11b954-a8f9-47e3-8041-e7ad344c4fb6': 'undef'}
21,hood_53da5edb-5f86-4600-8bbe-1d02414790f6,{'huːd_b2369c93-dd34-408b-8ca3-82a40aa1adee': 'Barbosa'}
22,p’ooh1_8351b529-6dec-4374-bbcc-30b2cb59847d,{'po̰ːh2_54d92d11-2e4d-45ab-b4b2-76011f12d6a6': 'Barbosa'}
23,tsʹaa_be6ef049-4a0b-4431-ade9-063237e7fde5,{'ɟa̰ːʔ2_217c7731-5d24-469b-80fa-f9d199bdb860': 'Barbosa'}
24,gyyj1_ca272553-839d-43eb-b187-20be948754f3,{'gɯːj_23115afe-da53-4a27-bc35-b9c7d1324594': 'Martins'}
25,pëë_8eeb53c7-1d25-48da-8b2d-51f5314aa791,{'pɤːʔ_25842643-9b52-44b1-8b43-182c1b11992f': 'Martins'}
26,juʔ2_268efbd6-8e22-4f0a-b085-761f16553757,{'juʔ1_7bb13b61-6e0f-4bd3-9889-18139d7bb2ac': 'Martins'}
27,jʹeenh_033fa6a4-bc25-446d-8349-5ce48c651c79,{'hajʹeenh_26f01a55-fea3-44d8-a432-919f084afb5f': 'unknown verbal inflection'}
28,mehëm_28471a19-ef36-4907-a039-ccf0e4bef3d6,{'mehëëm_c39cb70f-124b-4188-9602-3aca227cbe94': 'unknown- also from fieldnotes?'}
29,gaw’ëëng_475a687b-0e2b-4a1c-bf41-4336e322a2b7,{'gawɤ̰ːŋ_2bd9f56d-c1db-441e-a7ea-d1bf2e4d2d49': 'Martins'}
30,jëë_a0520e71-1c6b-440a-bfb4-073d8767e810,{'jɤːʔ_2d1daa55-a783-476e-a7fa-47d1ef2527ac': 'Martins'}
31,hũũt_fcbc9a08-ecac-4e11-b568-cad430854b14,{'hũːt2_2dab5f66-5578-47a2-bee1-414855d0f8eb': 'Martins'}
32,mabëng_c197d537-44e1-4a6f-abe7-fa15aead02e7,{'mabəŋ_2e0a7a92-fed2-4403-94ac-b9bf1c602912': 'Barbosa'}
33,patug2_c1f04c5c-89ef-403c-988f-4236d1de4a15,{'patuk2_2e68cc00-c5fe-4d28-ae84-197a9603094c': 'Barbosa'}
34,kaat4_2f663e30-e5e2-4436-aa3a-06247ad235b6,{'kat_f40fa792-adc4-41f2-ad6e-b5120cb7051a': 'Barbosa'}
35,jó_319f5a88-6001-437b-9f8e-0dadc0a51d8a,{'jɔʔ_ccb2b652-242e-40c6-a623-0abd516d2ee9': 'Martins'}
36,sẽẽj2_31d20726-ce1f-4f98-a01d-4dabbd5a7721,{'ʃɛ̃ːj_1b5ea309-3bf7-4495-b8e3-22a92b4512df': 'Barbosa'}
37,ajat_32eac6de-1dac-4fe7-96eb-afb8fdd8a693,{'ʔajat_c5b4a15c-8d79-4996-b956-443c2143e1b7': 'Barbosa'}
38,sawyym_ee869356-dc53-4210-9fa0-608972e8e311,{'ʃawiːm_3304d40a-0ff3-4883-8eb2-39d590ec7ac6': 'Barbosa'}
39,w’oor_3430ca49-d3b7-4b34-bff7-96d27c9662e2,{'wo̰ːɾ1_dffe077c-a1e2-4234-84d0-b75afeaf0660': 'Martins'}
40,piʃ2_524d6575-0649-4173-b87c-f1864f9b8139,{'piʃ1_34779d1b-888c-4885-8c33-f0cb9c912908': 'Martins'}
41,kawajad1_f97b2e7e-498c-44ee-bd8b-e78d47d7c9c5,"{'kawajad2_36b45174-a9b6-440b-b816-1d552c94f171': 'undef', 'gawajad_42f86ba0-9354-4a12-85ca-fb6bb7981ef6': 'Barbosa'}"
42,pɔw1_3b1d2ebf-a02d-40af-8785-d224f18a481e,{'pɔw2_88f9d903-03e8-48a9-96ad-346c13f8af41': 'Martins'}
43,sõts_bda18a4b-25b2-46d9-a02e-8c971679f674,{'ʃɔ̃ɟ_3cbecb22-d966-45e2-a70d-7aeed4c1b9b8': 'Martins'}
44,wajats1_3fb72e42-5cf7-4b2d-b65a-71b38ccc0086,{'wajats2_ad8e1685-a540-42c7-a1a6-345f1d62a409': 'Epps/Obert fieldnotes (MAKE HEAD WORD)'}
45,kawed_401e72f5-e1dc-4968-bc4b-e9fc98db9a07,{'kawɛd_aa7dd9c5-709a-4646-b503-eed11dae5567': 'Barbosa'}
46,atsuuk_7ed2ad67-026d-4534-83c1-b37b8b08324d,{'ɟuːk_4490816c-a10c-4d52-a75d-fe876900d6a0': 'Martins'}
47,h’ooh_c95ea861-4c45-4a1a-8ef3-688bec4eb1f7,{'ho̰ːh_44f1f84c-e4df-4217-88eb-ef261c0b564d': 'Martins'}
48,sawyk_4639249a-4c4d-48ec-92ad-2cda852204b8,{'ʃawɯk_687394cd-d7e8-4953-99e3-6c1caa551f59': 'Martins'}
49,ëk_ddd21a10-4d81-464a-a237-cf3195a8f0c5,{'ʔək_4736ff14-7951-4702-8420-4b761777ed50': 'Barbosa'}
50,ajʹyy_ece00d00-4ed6-47ba-9536-ac3be8cafafe,{'ʔajɯːʔ_479ecbff-3f1d-44fc-907e-91ca5906164b': 'Martins'}
51,gasoom2_1c16d365-be77-4968-953b-7db5ca036d79,{'gasoom1_4cbf1e75-3511-49fe-a915-2400ecd03edc': 'same as gasoom - isca?'}
52,ɾuɲ_c78e3c36-0f7b-4e27-ae42-5391ecaa33b0,{'ɾṵːɲ_4ae8608d-42ec-4b15-b5f6-62cf14285128': 'iterative(?)'}
53,doo1_96f3879f-cf4c-469d-ac46-4a89f9d8374d,{'doo4_8f96a134-db02-4580-a0d5-0599f0a181e1': ''}
54,ʔɯm2_56948ee3-6282-4ea9-842f-46e5f2484283,{'ʔɯm1_73d74d6f-08f3-463a-adc3-37a43c4c0786': 'same as hdwrd?'}
55,w’eets _fcd31ae9-c266-4ab2-a2ef-60eb3eff61c3,{'wɛːɟ_6884ab96-6eac-4ba5-928f-9d985edf2221': 'Barbosa'}
56,tu_983b21ad-1243-49cf-850f-b9211c029c37,"{'tuʔ2_b248ee55-a422-4c2e-80f5-bd1273f20230': 'Martins', 'tuʔ1_642a1cd9-3436-4208-94d8-0df53611f237': 'Martins'}"
57,jabaruut_97730e1c-4b00-42dd-bf5f-ae67b93de788,{'jabaɾuːt_5bad5a7b-1227-4ba0-aaca-042c0906d02f': 'unfrg'}
58,ahõng_5eceaf57-d989-4dc1-9a1f-72045734eeed,{'hɔ̃ŋ_80287da4-afa8-4514-bff8-69b869150d60': 'Martins'}
59,pʹop_663cf027-4684-4541-a231-ff7dea82110f,{'pɔ̰p_d09386a8-6bbf-4a0f-8a4b-6ab7693b239a': 'Martins'}
60,wii_8a4348e9-3bfb-46f0-8cd1-c70242ed07b9,{'wiːʔ_6775cf67-0f92-4ae5-a67c-dcd6102dce40': 'Martins'}
61,sʹoow_6a95cdaa-7d5e-4688-95a3-6ecb4731f4a4,{'s’oow_bd149bf3-7f4c-42b9-901c-045655c034c8': 'FIELDNOTES FORM MAKE INTO HEADWORD'}
62,j’aa_b7a0d5d6-dde2-42b6-ab7b-0d0db44ad378,{'ja̰ːʔ_6b9116ec-f02f-4b64-8159-8be45e5e7321': 'Martins'}
63,watuːɾ_6c6d6af3-914f-4223-af5b-893f529f5156,{'watoːɾ_aab6381d-36d6-4393-8125-63736f1d57b6': 'Barbosa'}
64,jahamad_6d3a98b8-7a59-4188-ab3b-8ebcdb2d3359,{'jahamaːd_ff8ca9d5-b389-4faf-88b6-3714f610b696': 'Barbosa'}
65,soo1_8d4ce206-887a-448d-a7db-8239d7cbeccf,{'ʃoːʔ_634a34c1-ac25-46b2-88d0-2498c1253e6f': 'Martins'}
66,karaba_7354ca9f-c488-41c2-aec5-27ce9f1a2a6c,{'kaɾabaʔ1_e5b1bd43-23ef-4e3f-b224-c4d00c9030b5': 'Martins'}
67,majoor_c276c6b7-c47e-43a9-a101-732c26dbba0d,{'majoːɾ_736c5590-b31b-4510-b141-5baa8624fc3f': 'Martins'}
68,ä̃nh_9d9c4409-ab43-42d2-9381-3d54485636ca,{'ʔʌ̃ɲ_747ec3c6-e1ec-454b-a23b-043d66e7611b': 'Martins'}
69,t’ëëng_7fad6677-006f-46f7-991e-8fd6199e5d12,{'tɯ̰ːŋ_8809f33f-e595-4f96-8d4d-cd4b936414ca': 'Martins'}
70,dõm_821df784-fbcb-40de-a505-a26f965d09ed,{'dɔ̃m_93459811-747b-4906-8f97-6105912ab61e': 'Martins'}
71,j’ããr_afb2c658-3980-4715-a1ca-bed049b872a9,{'jã̰ːɾ_84285bfb-a147-47a4-a0d0-30818be5a223': 'Martins'}
72,tyyw_87e0c426-d593-4ca1-8704-61dc46d5dc73,{'tɨːw_c9ecfce1-ed8a-4335-8793-9b265a3f6bd5': 'Barbosa'}
73,sëën_89e12256-aa4d-4789-a64e-fc333256a009,{'ʃəːn_9ff6ef51-bc0d-4bbc-b462-525c60f0df2f': 'Barbosa'}
74,jamog_8e957d4c-e10d-4870-87b6-9dfd6ee44b85,{'jamɔg_cc35fe75-2dbf-432f-a1fa-1c3e802dd99d': 'Barbosa'}
75,bä2_d715fe9e-35d6-4cb9-b7dd-ca28a1e3c7a4,{'bä1_8df25412-204a-46bc-a787-3ef67101e1cd': 'same as hdwrd?'}
76,tatuɟ_95665b00-9d5a-441d-9b43-a1c6000ebd62,{'tuɟ_1f099057-c3de-482b-9a51-6994e7b74391': 'Martins'}
77,tɔ̰̃p_f5d2c6fc-7483-4978-a80f-1a12a7d69426,"{'tɔ̰̃ːp2_9cceec82-ec11-4fd0-9417-c81d9b1b5b71': 'undef, same as hdwrd?'}"
78,maruus_9e8a8696-6179-4389-bd3e-277c6064a6ba,{'maɾuʃ_d8e843eb-0a99-4a26-963c-fcf20299fb1f': 'Martins'}
79,pä_f147e3d8-5601-4640-b31b-4fd6d06fa113,{'pʌʔ1_cad2429f-304a-437a-ac65-bad608ba9e61': 'Martins'}
80,agä2_b43dfe1e-4d9c-44c4-966b-7cdca5ef5b85,{'gä_8c3e9683-efa0-43fd-b2c6-7fb130828ae8': 'SIL 2011. same as hdwrd?'}
81,warahen2_9f60eea4-12af-4bff-b76f-4b605295b5a8,{'warahen1_d19ed409-f161-40d6-90a9-dede5c019714': 'make into sense variant instd of full variant'}
82,tsabud_a11cacd5-6a89-4610-a116-102feb4799f7,{'ɟabud_c59dda44-a224-4265-8c63-5a694be26e01': 'Martins'}
83,dén_a34486b3-8510-4e08-b3a3-222244121a73,{'dɛn_d2b3947a-62a9-499f-a2db-b953e9ae2cd0': 'Martins'}
84,takod2_a630902b-b26a-4906-870e-2c4c62b001b1,{'takod1_b4a9928d-a6e7-43f6-8956-769d02980cf9': 'SIL 2011- related?'}
85,tsawaaj_bd4ddf53-09b2-485e-bb4b-06c84d176264,{'ɟawaːj_b03fc85e-ed55-4fb1-a5b5-02f36f54c659': 'Barbosa'}
86,biin1_b2e517bb-acfb-4a33-9270-f9596069cab5,{'biin3_e6e5bae8-d2ad-412e-b701-c994681eb9d5': 'Weir- sense variant?'}
87,gehõk_b5552c55-9b4f-4af3-b075-530fed54518b,{'hɔ̃k_7ee84e60-c92c-46bb-bfdb-1ba24ed847f4': 'undef (prefix)'}
88,nuuh_98b2fa13-5514-4958-bbe6-86001f73c6a4,{'nũːh_ba8e92bb-bb4e-4c35-8130-8f8904c855b7': 'Martins'}
89,oow2_d04af342-ffb6-4ca8-806b-a630870f74ee,{'ʔoːw1_f450e27e-ab41-4277-a9ec-2d5c346698a5': 'Martins'}
90,dooh1_3ce71fc8-bcb6-49e2-aecf-4bba9da31ed4,{'doːh1_d9caa3ff-06cc-413b-a9c7-398060ef979c': 'Martins'}
91,bʹaah_20a69c66-ccf7-44e3-80f2-9c04da85502d,{'taba̰ːh_de71206e-e9a3-466d-9f04-99311263ecfd': 'Barbosa'}
92,ehë̃p_df3af308-6431-4a3e-aea7-e9264917d791,{'hɯ̃p_ceabb022-1ecb-48b9-b5d2-01c836094d5f': 'Martins'}
93,puh1_57bb72df-4cf6-4402-bd61-4bed152962c0,{'puh4_3e5a002d-3c9a-4d6e-b54d-d47c7a488500': 'Martins'}
94,tsëk_af17fc38-6498-4d80-a76e-ee0c115cd3ab,"{'ketsëk_fd6da278-89a5-4bbf-92ab-6535f4c01f91': 'unknown inflection', 'getsëk_a7a832cd-2d78-4d1b-9e52-5a79e3c734ce': 'unknown inflection'}"
