entry_id,def,status,matches
h’ëëd_025fec92-6af8-4d61-8544-bdb0e0362545,what;o que,merge,"{'h&apos;ëëd_025fec92-6af8-4d61-8544-bdb0e0362545': (""h'ëëd"", 'what;o que')}"
mawããd1_1684f868-710c-423f-9f25-9473565c77bb,pineapple;abacaxi,merge,"{'mowã:d_7bad8945-7ac3-4a5d-8f0b4478f6ba744d': ('mowã:d', 'abacaxi')}"
ji waa hood2_1bb106d4-3ce7-43b8-97e9-d12322848388,bowl;tijela,merge,"{'ji waa hood1_6e04e910-8a07-4997-b6d1-12f9d592c7ae': ('ji waa hood', 'basin;bacia'), 'ji waa hood3_cbb41e7c-9ec2-42ff-84aa-d2129273d074': ('ji waa hood', 'plate;prato')}"
gasoom2_1c16d365-be77-4968-953b-7db5ca036d79,fishing.bait;isca,merge,"{'gasoom1_4cbf1e75-3511-49fe-a915-2400ecd03edc': ('gasoom', 'angleworm;minhoca')}"
mehëm_28471a19-ef36-4907-a039-ccf0e4bef3d6,benzer,merge,"{'mehëëm_c39cb70f-124b-4188-9602-3aca227cbe94': ('mehëëm', 'bless;benzer')}"
sanajoo_2d51eef7-3530-450e-9048-2652a3aef93c,spider;aranha,merge,"{'sanajooh_cf70f282-1827-4664-bc8f-4edb4e054802': ('sanajooh', 'spider;aranha'), 'ʃanãjo:_bbb30dd3-8d2d-4e61-9338801fbdf58e0b': ('ʃanãjo:', 'aranha')}"
k’ëë_33265ec6-c2f0-40d5-a1eb-edc43610b9ea,bone;osso,merge,"{'kə̰:_83036f6e-eb27-4866-9e07b59e2136ce95': ('kə̰:', 'stalk')}"
kawajad2_36b45174-a9b6-440b-b816-1d552c94f171,deer;veado,merge,"{'kawajad1_f97b2e7e-498c-44ee-bd8b-e78d47d7c9c5': ('kawajad', 'deer;veado')}"
maỹỹn_3ee29e3d-5352-4c3b-adf8-d17f0fcc0206,mother.in.law;sogra,merge,"{'maɨ:n_d78aebcd-72b7-4625-9c8832586feea811': ('maɨ:n', 'sogra')}"
karasee2_430d97ec-8027-4c94-a20c-9abe0c446010,niece/nephew;sobrinha/o,merge,"{'karaʃe:_bbead827-d2c2-4ae6-b7d5bcfcf27ce44b': ('karaʃe:', 'sobrinho/a')}"
gawajaah3_473237ec-7ec5-4fc0-88e7-d5033497445e,hunt;caçar,merge; homophone w/ não alcançar?,"{'gawaja:h_4bcdb228-d5c9-43a8-91d9692c155c8ffd': ('gawaja:h', 'não.alcançar'), 'gawaja:h_a2ce689e-bdf8-4a72-86b52372cff080e9': ('gawaja:h', 'correr.atrás.de.caça')}"
mabaah1_4fd676f8-cdb4-436b-87e3-2cc5dcfd33d6,bee;abelha,merge???,"{'mabaah2_a7203acf-034b-4299-9e1a-f9382783d0ae': ('mabaah', 'honey;mel')}"
napits2_6f7520d1-88be-4ec1-85e9-1dd2931da488,woven.sieve;peneira,merge,"{'napic_9716137b-ba5f-43d2-81d0331a1d5db9dc': ('napic', 'peneira'), 'napic_a954c4fb-344a-484a-b3fffd8834174c42': ('napic', 'peneira')}"
tat&apos;aah_73df0f03-b64d-4afc-a11b-8558da89c891,grandson;neto,merge,"{'tata̰:h_8655a1bc-a95f-4192-a90175f8cb59008e': ('tata̰:h', 'netos')}"
barajaa1_8bcc805c-c353-4304-baca-d3128a24e769,avocado;abacate,merge,"{'barajaa2_e50cdd50-e263-4c36-8427-a1576df4ce0c': ('barajaa', 'avocado;abacate'), 'baraja:_be39ff9b-9dbb-4c1d-a9d12057f788873b': ('baraja:', 'abacate')}"
mayb2_95cb9f80-3207-4f7e-8ca5-f258d4800f3e,father.in.law;sogro,merge,"{'maɨb_349e4dd8-a1ef-4b14-992897ae00ed26e6': ('maɨb', 'sogro')}"
takod2_a630902b-b26a-4906-870e-2c4c62b001b1,bamboo;taboca,homophones?,"{'takod_b4a9928d-a6e7-43f6-8956769d02980cfa': ('takod', 'ambaiba.sp')}"
 =kóm1_b4ef6f78-08bb-4d23-9cba-f68a176930c7,root;raiz,merge???,"{' =kóm2_c8ff3ede-cd52-435e-aa16-b8e6ad9ac937': (' =kóm', 'thigh;coxa')}"
masook2_bad07ccf-c8ca-47a3-b227-48abab0ed633,manioc.meal;farinha,merge,"{'maʃo:k_c48a21f1-805b-46a2-b9e7706d9679045b': ('maʃo:k', 'mandioca.farinha')}"
ji etook doo_c1ddf700-e8d5-4369-a3ea-1e2cd3593151,pestle;mão.de.pilão,merge,"{'ji etook doo hood_eef3a85c-3621-4ed5-961a-49585ddaa9a1': ('ji etook doo hood', 'mortar;pilão')}"
bahõd2_c7fb0386-4f9c-4e01-b63e-98d57aeff3a4,amazonian.marsh.rat;rato.de.água,merge,"{'bahõd_7dc2be21-5b5d-4801-b1afd8ef1d40de68': ('bahõd', 'rato.do.mato')}"
jahuun_d45899a6-5980-4a1c-86ef-a41ea8848147,anteater;tamanduá.bandeira,merge,"{'jahu:n_6ec5b2d9-53a2-4e8b-8527bb67d204eb19': ('jahu:n', 'anteater'), 'jahu:n_96adc364-2c67-4c22-b66eb19f9cc7368c': ('jahu:n', 'tamanduá bandiera')}"
wë3_d683ed0f-5336-42bd-973a-dd2b94750fd0,sky;céu,merge,"{'wə_9acd178b-0827-43db-8efb131bced2c949': ('wə', 'céu')}"
her’oot_fcd85a56-cfb3-4e88-b636-3a81739ffd26,tell.story;contar.historia,merge,"{'hero̰:t_d42677cf-1d23-49c3-b1ed1d7c4b59b99d': ('hero̰:t', 'falar')}"
edṵ:k_1613de5c-4b41-4bc5-bfa47a967ead6a12,pescar.zagaia,merge,"{'edʹuuk_1613de5c-4b41-4bc5-bfa4-7a967ead6a11': ('edʹuuk', 'pescar.zagaia')}"
tũ:h_1b11b954-a8f9-47e3-8041e7ad344c4fb7,no.chão,merge???,"{'tũ_22152a27-e164-405e-b4b5-f3b9d7f6331d': ('tũ', 'floor;ground')}"
hḭ̃:w_1b5889d9-62f6-4a22-b429fbaee69d90ce,som de quebrar,merge,"{'hɨ̰̃:w_d2f0e9be-4c7f-41dc-960b912373df7380': ('hɨ̰̃:w', 'o que não presta mais')}"
erɛt_2370f1d5-42bf-477a-bec0cc27bf202069,leave;deixar,merge,"{'erét_2370f1d5-42bf-477a-bec0-cc27bf202068': ('erét', 'leave;deixar')}"
canana:_248cffb7-d6e2-42f6-b09ceee72262937c,?;lambe.olho,merge,"{'tsananaa_248cffb7-d6e2-42f6-b09c-eee72262937b': ('tsananaa', '?;lambe.olho')}"
wa:_36bdcbb1-66cb-47fc-a7ce1204359c2a62,food;comida,merge,"{'waa1_36bdcbb1-66cb-47fc-a7ce-1204359c2a61': ('waa', 'food;comida')}"
rṵ:ɲ_4ae8608d-42ec-4b15-b5f662cf14285129,saltitar (iterativo),merge,"{'ruɲ_c78e3c36-0f7b-4e27-ae425391ecaa33b1': ('ruɲ', 'pular')}"
ɨm_56948ee3-6282-4ea9-842f46e5f2484284,esperar,merge???,"{'ɨm_73d74d6f-08f3-463a-adc337a43c4c0787': ('ɨm', 'ficar')}"
nu: me_5921bae6-4777-4444-be41a1db8d4ba21e,times;vezes,merge,"{'nuu me_5921bae6-4777-4444-be41-a1db8d4ba21d': ('nuu me', 'times;vezes')}"
ji_5c846915-d6fc-437b-8c7d67cffc4f1363,one;a.gente,merge,"{'ji_7cc7a2a6-10ab-4e17-93022227fac559da': ('ji', 'pronome indeterminado'), 'ji_5c846915-d6fc-437b-8c7d-67cffc4f1362': ('ji', 'one;a.gente')}"
tʌ_5ea024ce-8d5b-461c-ae9697daffe5dbb1,food;comida,merge,"{'tä_5ea024ce-8d5b-461c-ae96-97daffe5dbb0': ('tä', 'food;comida')}"
hẽɲ_63c8102a-b241-4712-a83870b21b5a086f,to.dir;para.dir,merge,"{'hẽnh_63c8102a-b241-4712-a838-70b21b5a086e': ('hẽnh', 'to.dir;para.dir')}"
ra_691deaf6-11ec-4636-828c82636a8e4ead,3PL;3PL,merge,"{'ra_691deaf6-11ec-4636-828c-82636a8e4eac': ('ra', '3PL;3PL')}"
wapad_6d1f39e4-a447-4cba-b3ffb4b8f1eed9af,piaba.fish;piaba,merge,"{'wapad_6d1f39e4-a447-4cba-b3ff-b4b8f1eed9ae': ('wapad', 'piaba.fish;piaba')}"
mahaŋ_6da7140a-20bc-4055-a9dd9fe336967a75,among;no.meio,merge,"{'mahang_6da7140a-20bc-4055-a9dd-9fe336967a74': ('mahang', 'among;no.meio')}"
ʃɔ:p_6ed80681-abaa-4ad6-894e771dfb41aa9d,saltar (pl ʃɔ̰ːp),merge,"{'ʃɔ:_39949de8-fe17-4f70-b9672053c6b26205': ('ʃɔ:', 'tirar sorva')}"
karak_6f6f498f-e045-44a7-b814505bba4b8eb5,roçar,merge,"{'karak_81039392-2c4a-4292-bd5ac8108e4dbc51': ('karak', 'capinar')}"
takə̰p_713254c9-c9a3-408e-89d8f85183abb1e9,a.lot;muito,merge,"{'takʹëp_713254c9-c9a3-408e-89d8-f85183abb1e8': ('takʹëp', 'a.lot;muito')}"
go:r_78eea66c-9fe0-4ee5-a7ca79a089efa99a,traíra,merge,"{'gɔ:r_cbc735ec-3a11-421f-82fa4ca23abfd0c1': ('gɔ:r', 'espécie')}"
aha_7b0d5ed4-7e8a-427a-a07d90a64f3094dc,tirar.comida,merge,"{'aha_7b0d5ed4-7e8a-427a-a07d-90a64f3094db': ('aha', 'tirar.comida')}"
naə:ɲ_8604bf25-763e-4f74-9f621229dc8c1306,call;chamar,merge,"{'naëënh_8604bf25-763e-4f74-9f62-1229dc8c1305': ('naëënh', 'call;chamar')}"
nɛ hẽ_8b6c97f9-bff4-4755-a9b13d71dbc9938f,really.like.this;assim.mesmo,merge,"{'né hẽ_8b6c97f9-bff4-4755-a9b1-3d71dbc9938e': ('né hẽ', 'really.like.this;assim.mesmo')}"
ʃo:_8d4ce206-887a-448d-a7db8239d7cbecd0,woodpecker;pica-pau,merge,"{'soo1_8d4ce206-887a-448d-a7db-8239d7cbeccf': ('soo', 'woodpecker;pica-pau')}"
bʌ_8df25412-204a-46bc-a7873ef67101e1ce,na.frente,merge,"{'bʌ_d715fe9e-35d6-4cb9-b7ddca28a1e3c7a5': ('bʌ', 'ABL;ABL')}"
hado:_91228118-6e36-4bb1-8876c6ca8cf2491e,like.this;assim,merge,"{'hadoo_91228118-6e36-4bb1-8876-c6ca8cf2491d': ('hadoo', 'like.this;assim')}"
ʃa_9258a56c-b681-4637-922dc15c3cc4d778,3PL.POSS;3PL.POSS,merge,"{'sa_9258a56c-b681-4637-922d-c15c3cc4d777': ('sa', '3PL.POSS;3PL.POSS')}"
tɔ̰̃:p_9cceec82-ec11-4fd0-9417c81d9b1b5b72,no fundo (do rio),merge,"{'t&apos;õp_1895b435-ca91-4f37-9a89-e0f3d223f89a': (""t'õp"", 'no.fundo')}"
mana:_9d913c36-75d0-408c-a3f351b799cf6cf4,trazer,merge,"{'mana:_b999ce06-0ede-4cd1-850cf0321b9a34c2': ('mana:', 'trazer')}"
adɨ:k_a8313ccc-413c-4657-b4ef14f1259891a4,beat.with.stick;bater.com.pau,merge,"{'adyyk_a8313ccc-413c-4657-b4ef-14f1259891a3': ('adyyk', 'beat.with.stick;bater.com.pau')}"
iʃ_aabbc7a1-8b5c-4a46-a8f8348d31b31614,alone;sozinho,merge,"{'is_aabbc7a1-8b5c-4a46-a8f8-348d31b31613': ('is', 'alone;sozinho')}"
bi:n_b2e517bb-acfb-4a33-9270f9596069cab6,medicine;remédio,merge???,"{'biin1_b2e517bb-acfb-4a33-9270-f9596069cab5': ('biin', 'medicine;remédio'), 'biin2_e6e5bae8-d2ad-412e-b701-c994681eb9d5': ('biin', 'treat n.i.')}"
kapɨ̃:j_c53cf0e0-0078-4164-94672f4e98268e6e,creek;igarapé,merge,"{'kapỹỹj_c53cf0e0-0078-4164-9467-2f4e98268e6d': ('kapỹỹj', 'creek;igarapé')}"
gʌ:w_d75c6521-2155-4784-a8642198b50b7ec5,derrubar roça,sense variant?,"{'gə:w_70fc9c7c-beca-459a-a97351d3d66e4ec5': ('gə:w', 'roça')}"
aʃo:p_fb0ac1ce-3487-4841-8c1e1d831b4bedca,go.upwards.from river;subir.do.rio,merge,"{'asoop_fb0ac1ce-3487-4841-8c1e-1d831b4bedc9': ('asoop', 'go.upwards.from river;subir.do.rio')}"
jajɛ_ff33ec40-692f-454d-915fee99245cc6f8,there.invisible;lá.invisible,merge,"{'jajé     _ff33ec40-692f-454d-915f-ee99245cc6f7': ('jajé', 'there.invisible;lá.invisible')}"
harum_15ce4d3f-c20c-4b98-ac5e-19c13eada4af,tipiti;tipiti,merge,"{'haɾũm_e7c19295-e5b4-4fbe-afa0-407f81dde475': ('haɾũm', 'tipiti')}"
nyy2_2a616b2b-369a-4c2f-96a4-fed147510a78,INTERG,merge??? (is one a typo or are these two different words?),"{'nyyd_facdf3f0-1a1e-403e-912b-c4f27a0d057e': ('nyyd', 'WH;WH')}"
marahuud_579cf0f2-5521-4f7c-8650-e9e7775a6a6d,single;solteiro,merge,"{'maɾahuːd_ef1c8465-a5e4-4269-b0ee-40fed97f627b': ('maɾahuːd', 'solteiro')}"
panyyg1_b438b097-40f8-45db-98fc-91e5ba708d20,story;história,merge,"{'panyyg2_e135dd42-1fc6-4655-9a4c-61a3e18049cb': ('panyyg', 'story;conto')}"
eỹỹm2_b7f8608c-1aaa-4014-b04d-968cde2f7f87,fear;ter.medo,merge,"{'eỹỹm1_db33bb76-0902-4cd5-a8db-eb1f7bdaefba': ('eỹỹm', 'fear;ter.medo'), 'e&apos;ỹỹm_f10c9014-71b7-47c5-94e5-6838e40da1fe': (""e'ỹỹm"", 'scare;causar.medo')}"
hahỹỹh1_c9b7d1df-1bb9-48d2-a71c-af0fdd38ed70,este,,"{'ahỹỹh_f733ec49-2377-44b4-8f60-a93e6a22ff4e': ('ahỹỹh', 'sing.bird;cantar.pássaro')}"
abuuj_ca2e4d7b-85b5-4e4f-85c1-ca6b3ed3a14d,fill;encher,,"{'nabuuj_cb6fe9b5-c752-4979-abff-e6d8db6d476b': ('nabuuj', 'ear;orelha'), 'bu:j_54613d00-08ea-44ed-b99659610ba3cac7': ('bu:j', 'feitiço')}"
adëë_d39b9583-3673-442f-8a80-19cb72795322,lean;encostar,,"{'atə:_0d9d214a-224c-47c4-8261fdf54959927f': ('atə:', 'estar.no.fogo')}"
ha1_d8ff5f99-7c38-4ed3-ae5a-ceba827841bf,REL;REL,,"{'haa_6a83eb37-c1ab-4dc2-8210-1d9195abca43': ('haa', '1sg.POSS.PL;1sg.POSS.PL'), 'hã_394e29a8-d5e6-4ae4-ab8e521acec8fd7': ('hã', 'DAT')}"
eỹỹm1_db33bb76-0902-4cd5-a8db-eb1f7bdaefba,fear;ter.medo,,"{'eỹỹm2_b7f8608c-1aaa-4014-b04d-968cde2f7f87': ('eỹỹm', 'fear;ter.medo'), 'ỹỹm1_c5454b3c-10c6-4bf4-936d-38c30dd989de': ('ỹỹm', 'esposa'), 'e&apos;ỹỹm_f10c9014-71b7-47c5-94e5-6838e40da1fe': (""e'ỹỹm"", 'scare;causar.medo')}"
j&apos;yy_dc5580cb-f66e-4333-9edc-7b10af35d72a,son.Voc;filho.Voc,,"{'jɨ̰:t_5433c61f-5cd9-4e4b-a03d7eacb676ef0f': ('jɨ̰:t', 'wash'), 'aj&apos;yy_ece00d00-4ed6-47ba-9536-ac3be8cafafe': (""aj'yy"", 'man;homem')}"
asëm_dc855a5e-e265-4869-9faa-8947234d666a,be.arrogant;ser.orgulhoso,,"{'atsëm_3e48f310-3d32-4d81-9074-b841d0ae6f78': ('atsëm', 'night;noite')}"
mỹỹj_dfe6e587-6395-4e95-992c-85a4d3e70bac,temporary.camp;acampamento.temporário,,"{'ɨ̃:j_5a1c00f9-4ec3-4e16-b5fe91e9b4916736': ('ɨ̃:j', 'mulheres')}"
panyyg2_e135dd42-1fc6-4655-9a4c-61a3e18049cb,story;conto,,"{'panyyg1_b438b097-40f8-45db-98fc-91e5ba708d20': ('panyyg', 'story;história')}"
haɾũm_e7c19295-e5b4-4fbe-afa0-407f81dde475,tipiti,,"{'harum_15ce4d3f-c20c-4b98-ac5e-19c13eada4af': ('harum', 'tipiti;tipiti')}"
atsëë_e8b38791-7aed-416c-b546-7186f67846fa,ant.spec;formiga.taxi,,"{'tatsëë_c7995d79-a53a-4ee3-ba03-b6b43eeea58c': ('tatsëë', 'cooking food wrapped in leaves')}"
aj&apos;yy_ece00d00-4ed6-47ba-9536-ac3be8cafafe,man;homem,,"{'j&apos;yy_dc5580cb-f66e-4333-9edc-7b10af35d72a': (""j'yy"", 'son.Voc;filho.Voc')}"
kahũũm_edb14c07-f4e4-49ef-8e80-ffbedcf5072a,stretch;esticar,,"{'tahũ:m_480edbaa-0ba8-4eae-968e71ba5dbe2439': ('tahũ:m', 'planta.sp')}"
maɾahuːd_ef1c8465-a5e4-4269-b0ee-40fed97f627b,solteiro,,"{'marahuud_579cf0f2-5521-4f7c-8650-e9e7775a6a6d': ('marahuud', 'single;solteiro')}"
e&apos;ỹỹm_f10c9014-71b7-47c5-94e5-6838e40da1fe,scare;causar.medo,,"{'eỹỹm2_b7f8608c-1aaa-4014-b04d-968cde2f7f87': ('eỹỹm', 'fear;ter.medo'), 'eỹỹm1_db33bb76-0902-4cd5-a8db-eb1f7bdaefba': ('eỹỹm', 'fear;ter.medo')}"
ahỹỹh_f733ec49-2377-44b4-8f60-a93e6a22ff4e,sing.bird;cantar.pássaro,,"{'mahɨ:h_99331f07-019a-4e63-ba089b2b6308fe5d': ('mahɨ:h', 'levar.baixo'), 'hahỹỹh1_c9b7d1df-1bb9-48d2-a71c-af0fdd38ed70': ('hahỹỹh', 'este')}"
has&apos;aa_f8f877c8-bb62-4c63-ab3a-127434c9e8b3,dislike;desgostar,,"{'nas&apos;aa_3bd6ffae-4a8e-497c-88a9-cf04245cbc73': (""nas'aa"", 'ugly;feio')}"
nyyd_facdf3f0-1a1e-403e-912b-c4f27a0d057e,WH;WH,,"{'nyy2_2a616b2b-369a-4c2f-96a4-fed147510a78': ('nyy', 'INTERG')}"
asoop_fb0ac1ce-3487-4841-8c1e-1d831b4bedc9,go.upwards.from river;subir.do.rio,,"{'aʃo:p_fb0ac1ce-3487-4841-8c1e1d831b4bedca': ('aʃo:p', 'go.upwards.from river;subir.do.rio')}"
bii_fb6c7157-1b9b-4d1b-9926-dcdea3043357,breast;seios,,"{'bi:ʃ_4e4766cf-1634-41cf-8f2b8a53fcce110e': ('bi:ʃ', 'pipira'), 'abi:_bd3c588b-d116-42fc-b2381c92088338e3': ('abi:', 'mamar')}"
ëën_fe7eb662-ab08-4960-beed-46e3474784d5,mother.Voc;mãe.Voc,,"{'sëën_89e12256-aa4d-4789-a64e-fc333256a009': ('sëën', 'hair;cabelo')}"
jajé     _ff33ec40-692f-454d-915f-ee99245cc6f7,there.invisible;lá.invisible,,"{'jajɛ_ff33ec40-692f-454d-915fee99245cc6f8': ('jajɛ', 'there.invisible;lá.invisible')}"
